Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260302,36.21,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260304,4.88,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Rail Travel Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260304,9.22,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260304,29.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260304,32.41,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Hotel & Accommodation Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260304,140.75,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260305,0.74,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",260305,3.75,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260305,12.90,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260305,17.65,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Taxi Services Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260305,24.82,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260306,0.33,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Rail Travel Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260306,5.60,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Taxi Services Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260306,10.95,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260306,24.30,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",260306,25.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",260307,13.78,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",260307,23.85,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Taxi Services UK,UKSA - UKSA,"Personal Expense, Name Withheld",260307,85.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",260309,23.24,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Taxi Services UK,UKSA - UKSA,"Personal Expense, Name Withheld",260309,40.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260310,3.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260310,16.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Rail Travel UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260310,33.90,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260310,307.58,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260311,6.45,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Hotel & Accommodation UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260311,6.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260311,34.76,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260311,131.51,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Other Professional Services,UKSA - UKSA,OPEN COSMOS LTD,260381,3000.00,,OX11 0QX,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Current Grants to Private Sector - NPISH,UKSA - UKSA,ASSIMILA LTD,260382,3000.00,,RG6 6BU,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Training and Development Expenditure,UK Space Agency - UK Space Agency,POSTURITE LTD,260393,73.92,,BN26 6SZ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Other Goods/Services,UK Space Agency - UK Space Agency,POSTURITE LTD,260393,600.00,,BN26 6SZ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,Consultancy Expenditure,UKSA - UKSA,DSTL (DEFENCE SCIENCE AND TECHNOLOGY LABORATORY),260394,23048.20,,SP4 0JQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,SATELLITE APPLICATIONS CATAPULT LTD,260414,20000.00,,OX11 0QR,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260472,3.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260472,9.25,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260472,10.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Taxi Services UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260472,15.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Rail Travel UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260472,16.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",260473,60.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,LONDON ECONOMICS LTD,260542,20916.00,,WC2R 1LA,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,24/10/2018,R & D Training and Development Expenditure,UK Space Agency - UK Space Agency,THE OPEN UNIVERSITY,260598,1464.00,,MK7 6BT,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,25/10/2018,Rail Travel UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260624,176.00,,,
"Department for Business, Innovation and Skills",UK Space Agency,25/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",260695,27.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,25/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",260696,54.45,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,25/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,SATELLITE APPLICATIONS CATAPULT LTD,260755,188393.38,,OX11 0QR,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,25/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,SATELLITE APPLICATIONS CATAPULT LTD,260755,345259.00,,OX11 0QR,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,25/10/2018,Current Grants To Private Sector - NPISH,UK Space Agency - UK Space Agency,SATELLITE APPLICATIONS CATAPULT LTD,260790,15000.00,,OX11 0QR,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,Rail Travel UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260795,66.00,,,
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,Janus TCD Ltd,260819,-126227.91,,DY8 1LU,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,Janus TCD Ltd,260820,533318.55,,DY8 1LU,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Catering and Hospitality Expenditure,UK Space Agency - UK Space Agency,IAN MCWHIRTER T/A BLOOMERS BESPOKE,260846,124.00,,OX11 0QQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260911,1.61,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260911,2.99,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260911,12.89,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260912,11.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260912,14.60,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260912,54.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260913,43.20,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",260957,103.50,,,
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",260958,4.29,,,
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,Rail Travel UK,UKSA - UKSA,"Personal Expense, Name Withheld",260958,88.20,,,
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,ECOMETRICA LTD,260997,30000.00,,EH4 2HS,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Mileage Allowance UK,UKSA - UKSA,"Personal Expense, Name Withheld",261064,83.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",261102,2.77,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",261102,114.88,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",261102,191.94,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Hotel & Accommodation Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",261102,1266.88,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",261103,15.46,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",261103,24.94,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Hotel & Accommodation Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",261103,196.36,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",261104,5.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,29/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,Argans Ltd,261146,10000.00,,PL6 8BX,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,SATELLITE APPLICATIONS CATAPULT LTD,261305,53956.75,,OX11 0QR,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Catering and Hospitality Expenditure,UK Space Agency - UK Space Agency,IAN MCWHIRTER T/A BLOOMERS BESPOKE,261314,216.25,,OX11 0QQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Training and Development Expenditure,UK Space Agency - UK Space Agency,THE BRITISH INTERPLANETARY SOCIETY,261315,349.00,,SW8 1SZ,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,31/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,REACTION ENGINES LTD,261327,167000.00,,OX14 3DB,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261356,3.25,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261356,14.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261356,14.80,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261356,17.43,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261356,18.74,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Taxi Services Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261356,20.26,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Rail Travel Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261356,35.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261356,88.75,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Subsistence UK,UKSA - UKSA,"Personal Expense, Name Withheld",261357,9.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",261357,12.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Rail Travel UK,UKSA - UKSA,"Personal Expense, Name Withheld",261357,15.60,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Taxi Services UK,UKSA - UKSA,"Personal Expense, Name Withheld",261357,90.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Hotel & Accommodation UK,UKSA - UKSA,"Personal Expense, Name Withheld",261357,95.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Hotel & Accommodation UK,UKSA - UKSA,"Personal Expense, Name Withheld",261357,99.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261359,130.14,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261360,7.38,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261360,40.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261360,67.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261361,4.05,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261361,4.34,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261361,6.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Subsistence Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261361,15.31,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Taxi Services Overseas,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261361,69.60,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261362,8.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261362,29.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261363,67.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,30/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261364,38.07,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,31/10/2018,R & D Office Supplies,UK Space Agency - UK Space Agency,OFFICE DEPOT UK LTD,261459,145.57,,SP10 4JZ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,31/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,Geospatial Insight Ltd,261474,13475.00,,B46 3AD,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,31/10/2018,R & D Hotel & Accommodation UK,UKSA - UKSA,"Personal Expense, Name Withheld",261505,114.00,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,31/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261506,30.60,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,31/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261508,4.98,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,31/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261508,6.14,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,31/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",261508,14.89,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,31/10/2018,R & D Current Grants to Private Sector - NPISH,UKSA - UKSA,UNIVERSITY OF SHEFFIELD,261668,2966.98,,S10 2TN,GRANT
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
